Hp pq value
8 177 8054
8 124 5136
8 164 7123
8 168 7372
8 129 5262
8 162 7002
8 20 850
8 208 8946
8 194 8595
8 147 6029
8 138 5718
8 217 9138
8 225 9535
8 225 9507
8 216 9062
8 192 8390
8 224 9415
8 158 6548
8 166 6973
8 198 8576
8 211 8846
8 30 1398
8 59 2469
8 108 4202
8 227 9214
8 3 251
8 121 4813
8 159 6403
8 242 9624
8 35 1521
8 11 477
8 190 7678
8 76 3009
9 103 3952
9 33 1403
9 206 8272
9 23 954
9 215 8605
9 94 3570
9 158 5901
9 24 986
9 244 9288
9 137 5039
9 14 522
9 141 5147
9 10 453
9 236 8912
9 126 4562
9 87 3353
9 62 2237
9 87 3138
9 60 2200
9 103 3636
9 52 1960
9 78 2754
9 83 2850
9 62 2211
9 210 7567
9 165 5605
9 223 8188
9 163 5440
9 70 2435
9 175 5866
9 234 8450
9 186 6387
9 108 3621
9 196 6722
9 211 7342
9 65 2226
9 7 292
9 282 9595
9 282 9565
9 181 5932
9 141 4635
9 2 87
9 29 1080
9 42 1440
9 169 5351
9 176 5642
9 149 4794
9 229 7588
9 263 8781
9 100 3346
9 230 7576
9 22 741
9 195 6100
9 12 427
9 288 9304
9 118 3667
9 196 6032
9 232 7492
9 178 5460
9 260 8467
9 310 9711
9 6 262
9 38 1207
9 312 9684
9 222 6984
9 264 8549
9 59 1911
9 120 3628
9 149 4496
9 248 7828
9 198 5912
9 185 5483
9 252 7915
9 228 6992
9 225 6924
9 319 9618
9 87 2635
9 57 1718
9 119 3558
9 254 7768
9 172 5064
9 35 1135
9 166 4861
9 252 7516
9 53 1562
9 146 4165
9 255 7535
9 138 3946
9 269 8010
9 102 2995
9 300 8766
9 144 4073
9 109 3257
9 348 9973
9 133 3757
9 231 6593
9 175 4874
9 68 2020
9 233 6573
9 331 9370
9 352 9848
9 87 2486
9 174 4854
9 150 4115
9 211 5830
9 60 1778
9 135 3733
9 299 8465
9 360 9848
9 132 3644
9 93 2585
9 43 1264
9 177 4779
9 269 7446
9 320 8780
9 97 2693
9 288 7964
9 96 2667
9 247 6639
9 229 5974
9 69 2015
9 61 1757
9 1 47
9 205 5272
9 62 1730
9 4 156
9 307 8218
9 254 6604
9 81 2177
9 38 1143
9 92 2327
9 77 2025
9 387 9981
9 278 7181
9 245 6141
9 229 5812
9 212 5311
9 249 6226
9 23 629
9 208 5159
9 392 9870
9 126 3215
9 113 2775
9 188 4649
9 24 661
9 311 7907
9 292 7342
9 341 8625
9 22 574
9 12 334
9 36 951
9 109 2589
9 88 2091
9 298 7350
9 183 4214
9 5 174
9 308 7507
9 362 8784
9 133 3130
9 259 6036
9 413 9927
9 234 5457
9 332 8061
9 267 6261
9 113 2638
9 24 554
9 89 2073
9 192 4301
9 289 6781
9 386 9054
9 400 9460
9 131 3003
9 100 2269
9 360 8587
9 326 7653
9 396 9283
9 280 6494
9 55 1347
9 194 4260
9 151 3421
9 344 8033
9 232 5212
9 268 6010
9 285 6477
9 391 8914
9 6 224
9 295 6651
9 126 2773
9 244 5360
9 435 9781
9 391 8809
9 238 5288
9 69 1591
9 306 6871
9 347 7901
9 197 4229
9 174 3777
9 288 6326
9 377 8531
9 26 558
9 250 5380
9 204 4343
9 162 3562
9 347 7650
9 424 9283
9 345 7567
9 317 6933
9 265 5777
9 243 5266
9 51 1193
9 426 9198
9 451 9652
9 128 2757
9 68 1561
9 290 6129
9 74 1672
9 377 8137
9 430 9132
9 212 4445
9 161 3498
9 249 5265
9 150 3255
9 242 5138
9 325 6856
9 310 6478
9 145 3039
9 352 7438
9 9 255
9 451 9365
9 111 2321
9 345 7166
9 228 4745
9 324 6664
9 343 7080
9 113 2395
9 293 5947
9 44 999
9 278 5680
9 395 8077
9 126 2617
9 156 3226
9 179 3627
9 110 2269
9 302 5983
9 257 5188
9 235 4750
9 201 4007
9 161 3326
9 196 3882
9 419 8453
9 344 6824
9 284 5500
9 405 8060
9 88 1962
9 116 2356
9 41 890
10 255 5001
10 503 9794
10 382 7497
10 35 718
10 432 8467
10 47 1015
10 288 5463
10 261 5132
10 232 4447
10 221 4211
10 384 7431
10 289 5446
10 330 6243
10 87 1860
10 422 8064
10 498 9469
10 296 5488
10 354 6685
10 86 1805
10 33 676
10 68 1436
10 311 5812
10 16 354
10 285 5318
10 31 617
10 387 7178
10 387 7170
10 266 5029
10 304 5492
10 515 9527
10 121 2271
10 372 6845
10 310 5673
10 533 9769
10 414 7563
10 223 4141
10 391 7136
10 514 9379
10 310 5625
10 80 1584
10 193 3590
10 518 9408
10 179 3382
10 347 6185
10 65 1269
10 432 7798
10 316 5655
10 168 3109
10 247 4484
10 417 7460
10 4 137
10 125 2272
10 543 9624
10 25 492
10 220 3942
10 8 242
10 439 7670
10 56 1113
10 89 1623
10 542 9515
10 36 640
10 223 3895
10 368 6360
10 151 2665
10 1 16
10 227 3924
10 180 3158
10 415 7152
10 186 3303
10 509 8783
10 292 5088
10 183 3245
10 265 4544
10 493 8471
10 550 9430
10 120 2165
10 151 2621
10 78 1437
10 313 5274
10 201 3457
10 310 5249
10 326 5411
10 347 5729
10 289 4874
10 361 5903
10 580 9672
10 81 1468
10 595 9926
10 47 785
10 181 3091
10 564 9441
10 469 7777
10 195 3338
10 123 2153
10 24 442
10 200 3354
10 380 6077
10 220 3601
10 29 507
10 358 5732
10 531 8736
10 110 1947
10 331 5329
10 196 3280
10 421 6770
10 291 4760
10 343 5445
10 577 9392
10 154 2549
10 442 7071
10 176 2849
10 488 7799
10 150 2483
10 530 8579
10 563 9025
10 292 4738
10 285 4603
10 434 6845
10 59 1016
10 346 5388
10 629 9936
10 433 6809
10 195 3165
10 611 9627
10 570 8963
10 634 9959
10 181 2981
10 78 1392
10 632 9912
10 628 9840
10 458 7125
10 548 8649
10 106 1788
10 151 2454
10 529 8281
10 542 8558
10 229 3566
10 4 79
10 283 4302
10 406 6116
10 466 7150
10 468 7152
10 16 267
10 400 5985
10 130 2083
10 374 5644
10 464 7076
10 194 3038
10 159 2489
10 533 8092
10 546 8426
10 576 8777
10 76 1254
10 522 7943
10 547 8404
10 436 6569
10 284 4254
10 514 7738
10 527 7961
10 277 4167
10 509 7578
10 87 1438
10 613 9168
10 385 5718
10 260 3893
10 256 3801
10 41 629
10 258 3811
10 260 3880
10 330 4931
10 432 6279
10 500 7383
10 566 8435
10 190 2898
10 223 3368
10 469 6870
10 579 8542
10 27 444
10 681 9908
10 505 7383
10 333 4889
10 568 8334
10 431 6161
10 164 2495
10 174 2629
10 58 917
10 632 9064
10 478 6884
10 601 8655
10 487 7025
10 514 7403
10 437 6234
10 586 8464
10 457 6571
10 121 1952
10 612 8709
10 22 372
10 173 2581
10 170 2520
10 41 605
10 271 3865
10 357 5152
10 563 7988
10 156 2300
10 569 8050
10 86 1356
10 656 9171
10 203 2945
10 581 8153
10 654 9079
10 20 328
10 675 9394
10 268 3766
10 464 6489
10 121 1889
10 460 6395
10 532 7407
10 63 953
10 703 9631
10 441 6062
10 316 4330
10 508 7034
10 628 8648
10 199 2794
10 732 9957
10 504 6953
10 570 7855
10 483 6682
10 702 9534
10 25 376
10 532 7287
10 722 9751
10 123 1880
10 112 1627
10 141 2052
10 741 9930
10 688 9335
10 81 1223
10 683 9227
10 552 7488
10 487 6654
10 714 9556
10 232 3234
10 28 420
10 171 2397
10 370 5123
10 232 3168
10 741 9804
10 173 2428
10 687 9151
10 156 2219
10 501 6759
10 186 2538
10 545 7219
10 444 5905
10 183 2495
10 317 4172
10 284 3761
10 421 5529
10 3 59
10 36 489
10 700 9168
10 757 9810
10 173 2369
10 61 795
10 626 8214
10 662 8651
10 7 131
10 442 5789
10 602 7879
10 311 3971
10 181 2444
10 572 7435
10 558 7206
10 715 9216
10 770 9832
10 672 8681
10 679 8736
10 465 5989
10 578 7462
10 609 7888
10 349 4560
10 332 4221
10 520 6778
10 126 1779
10 500 6478
10 435 5625
10 173 2304
10 12 239
10 82 1155
10 179 2363
10 555 7080
10 23 323
10 669 8525
10 753 9449
10 591 7471
10 526 6740
10 352 4453
10 609 7602
10 199 2529
10 694 8684
10 116 1573
10 97 1325
10 488 6119
10 397 5131
10 45 542
10 179 2303
10 309 3813
10 749 9278
10 369 4644
10 97 1275
10 280 3518
10 448 5556
10 136 1848
10 23 296
10 591 7336
10 673 8326
10 481 5922
10 490 5992
10 394 4918
10 279 3429
10 679 8355
10 151 1998
10 306 3752
10 260 3232
10 642 7800
10 92 1223
10 836 9972
10 710 8605
10 419 5177
10 740 8854
10 600 7289
10 551 6751
10 11 179
10 820 9760
10 143 1882
10 63 721
10 165 2063
10 162 2047
10 527 6352
10 256 3060
10 275 3322
10 520 6222
10 723 8616
10 118 1522
10 545 6519
10 192 2304
10 844 9849
10 753 8793
10 697 8296
10 84 1119
10 181 2222
10 254 3003
10 812 9469
10 196 2326
10 529 6236
10 312 3621
10 856 9902
10 223 2560
10 183 2226
10 425 5079
10 110 1414
10 824 9515
10 699 8182
10 131 1594
10 481 5627
10 549 6417
10 749 8667
10 354 4043
10 409 4816
10 425 5019
10 613 7103
10 388 4491
10 665 7594
10 171 2071
10 524 6013
10 359 4113
10 385 4376
10 181 2214
10 813 9258
10 239 2672
10 861 9685
10 686 7832
10 164 2028
10 808 9155
10 569 6510
10 724 8264
10 250 2776
10 561 6412
10 634 7176
10 106 1355
10 693 7844
10 759 8591
10 641 7222
10 208 2378
10 12 185
10 260 2850
10 450 5147
10 458 5204
10 613 6893
10 908 9964
10 14 224
10 30 348
10 400 4455
10 701 7818
10 214 2419
10 607 6820
10 745 8283
10 606 6795
10 822 9035
10 356 3893
10 520 5820
10 796 8720
10 142 1725
10 711 7848
10 388 4227
10 746 8235
10 222 2464
10 633 7004
10 82 1000
10 893 9640
10 422 4711
10 467 5196
10 751 8231
10 158 1933
10 697 7574
10 429 4768
10 431 4783
10 844 9074
10 939 9973
10 737 8028
10 841 9038
10 596 6549
10 424 4728
10 925 9845
10 66 719
10 656 7148
10 608 6665
10 491 5354
10 26 295
10 178 2052
10 868 9247
10 564 6115
10 660 7125
10 679 7324
10 28 315
10 113 1352
10 162 1911
10 863 9131
10 429 4708
10 275 2911
10 833 8772
10 897 9419
10 415 4459
10 314 3355
10 728 7705
10 787 8386
10 417 4476
10 848 8840
10 704 7460
10 75 801
10 642 6869
10 606 6498
10 695 7350
10 142 1597
10 261 2695
10 415 4421
10 473 5097
10 903 9360
10 952 9775
10 511 5393
10 741 7765
10 509 5374
10 755 7860
10 460 4890
10 262 2698
10 785 8176
10 251 2594
10 84 961
10 700 7307
10 700 7303
10 15 225
10 230 2431
10 298 3074
10 443 4684
10 194 2139
10 73 779
10 300 3070
10 635 6615
10 953 9620
10 53 530
10 723 7416
10 281 2841
10 332 3380
10 96 1118
10 77 790
10 592 6075
10 543 5539
10 573 5888
10 161 1788
10 151 1666
10 760 7633
10 960 9553
10 689 7040
10 543 5493
10 79 795
10 600 6090
10 1 21
10 340 3389
10 342 3403
10 369 3681
10 698 7044
11 366 3628
11 245 2464
11 8 119
11 837 8313
11 454 4603
11 729 7250
11 781 7735
11 768 7570
11 321 3222
11 456 4618
11 493 4986
11 609 6063
11 813 7998
11 244 2456
11 321 3206
11 43 426
11 440 4347
11 552 5446
11 211 2214
11 235 2365
11 316 3079
11 835 8119
11 584 5757
11 497 4924
11 928 8914
11 168 1847
11 121 1298
11 899 8655
11 154 1603
11 124 1331
11 583 5700
11 533 5231
11 395 3795
11 211 2171
11 1042 9896
11 485 4751
11 989 9421
11 417 3984
11 236 2321
11 281 2644
11 899 8602
11 385 3660
11 518 5059
11 683 6600
11 641 6116
11 869 8265
11 354 3378
11 707 6816
11 391 3711
11 585 5592
11 977 9181
11 329 3142
11 5 63
11 514 4939
11 857 8067
11 962 8977
11 330 3138
11 600 5717
11 426 3985
11 493 4741
11 744 7048
11 1048 9685
11 668 6325
11 768 7195
11 174 1856
11 659 6221
11 185 1946
11 822 7629
11 16 205
11 457 4268
11 29 273
11 547 5159
11 459 4280
11 163 1685
11 170 1760
11 44 396
11 1092 9950
11 145 1490
11 385 3564
11 399 3662
11 764 7083
11 300 2746
11 731 6804
11 379 3498
11 441 4037
11 118 1223
11 976 8828
11 784 7175
11 752 6940
11 310 2813
11 909 8269
11 38 340
11 984 8850
11 495 4594
11 834 7536
11 769 7058
11 788 7167
11 637 5834
11 507 4687
11 410 3725
11 702 6454
11 129 1313
11 995 8884
11 80 734
11 327 2998
11 768 6996
11 836 7483
11 324 2948
11 948 8487
11 104 1047
11 326 2962
11 194 1922
11 12 145
11 684 6119
11 603 5420
11 467 4182
11 416 3694
11 478 4248
11 139 1358
11 778 6987
11 790 7061
11 668 5979
11 828 7327
11 662 5911
11 66 573
11 121 1215
11 332 2969
11 885 7740
11 386 3402
11 458 4009
11 152 1465
11 1136 9856
11 600 5322
11 41 350
11 784 6943
11 526 4672
11 843 7346
11 502 4426
11 457 3972
11 663 5833
11 189 1825
11 788 6935
11 469 4107
11 209 1971
11 1090 9406
11 1108 9528
11 710 6153
11 354 3100
11 437 3776
11 446 3863
11 9 87
11 840 7190
11 1151 9842
11 437 3767
11 357 3101
11 49 415
11 573 4982
11 273 2423
11 524 4508
11 547 4736
11 744 6432
11 694 5973
11 529 4593
11 957 8106
11 311 2675
11 935 7888
11 1078 9130
11 742 6374
11 260 2314
11 362 3102
11 1010 8559
11 485 4139
11 747 6389
11 311 2667
11 720 6110
11 679 5795
11 238 2195
11 1027 8616
11 1067 8896
11 264 2323
11 287 2479
11 630 5335
11 1140 9513
11 264 2322
11 1093 9102
11 1082 8967
11 324 2737
11 54 437
11 146 1390
11 428 3597
11 614 5173
11 501 4174
11 709 5923
11 737 6118
11 1042 8632
11 1035 8598
11 482 4006
11 940 7762
11 139 1324
11 759 6320
11 99 864
11 754 6236
11 816 6812
11 885 7254
11 1090 8903
11 1132 9274
11 1148 9401
11 910 7450
11 515 4242
11 1013 8297
11 1200 9773
11 807 6722
11 1235 9985
11 677 5639
11 1112 9044
11 1119 9087
11 551 4606
11 996 8133
11 1176 9524
11 272 2348
11 188 1731
11 112 1050
11 348 2874
11 948 7654
11 880 7168
11 164 1506
11 315 2604
11 122 1175
11 682 5620
11 33 281
11 473 3847
11 347 2836
11 800 6517
11 861 7011
11 788 6442
11 665 5420
11 323 2638
11 718 5844
11 1156 9222
11 847 6880
11 63 493
11 655 5347
11 443 3602
11 61 478
11 110 986
11 1135 8998
11 733 5918
11 217 1944
11 430 3484
11 202 1794
11 541 4292
11 647 5215
11 355 2844
11 436 3518
11 1171 9221
11 796 6365
11 154 1376
11 1035 8177
11 491 3892
11 880 6996
11 1069 8458
11 515 4091
11 782 6185
11 619 4975
11 954 7455
11 326 2627
11 847 6747
11 10 93
11 606 4823
11 280 2321
11 414 3325
11 190 1669
11 993 7669
11 879 6928
11 251 2147
11 1118 8655
11 273 2278
11 562 4417
11 888 6952
11 731 5762
11 794 6212
11 137 1244
11 950 7329
11 690 5408
11 121 1115
11 841 6550
11 1057 8125
11 315 2491
11 601 4728
11 235 2017
11 749 5840
11 1253 9538
11 308 2461
11 239 2025
11 104 866
11 1304 9916
11 115 1004
11 1007 7613
11 1 9
11 750 5828
11 818 6287
11 1282 9686
11 994 7497
11 517 3956
11 860 6614
11 782 5996
11 1189 8963
11 676 5245
11 52 414
11 770 5915
11 118 1007
11 386 2978
11 455 3512
11 1106 8337
11 1109 8386
11 600 4627
11 143 1239
11 379 2864
11 944 7118
11 783 5967
11 638 4881
11 1246 9310
11 219 1858
11 984 7342
11 158 1335
11 360 2724
11 477 3610
11 300 2340
11 886 6689
11 1347 9971
11 597 4520
11 392 2976
11 1306 9658
11 244 2017
11 434 3284
11 347 2624
11 584 4365
11 281 2248
11 1070 7869
11 638 4779
11 602 4515
11 1206 8877
11 550 4109
11 1088 8027
11 477 3566
11 332 2496
11 1229 9006
11 645 4805
11 723 5360
11 325 2477
11 971 7125
11 890 6593
11 212 1787
11 1234 8983
11 36 288
11 423 3123
11 1104 8059
11 534 3898
11 218 1815
11 643 4748
11 21 222
11 864 6335
11 557 4077
11 1366 9880
11 636 4704
11 1020 7361
11 339 2504
11 1258 9069
11 1330 9609
11 51 374
11 20 201
11 566 4125
11 765 5603
11 597 4310
11 1176 8504
11 1278 9169
11 434 3158
11 1054 7511
11 44 326
11 671 4870
11 876 6340
11 1044 7451
11 181 1464
11 1137 8127
11 889 6434
11 1134 8104
11 1075 7602
11 619 4493
11 1169 8354
11 1324 9417
11 771 5594
11 1198 8576
11 271 2104
11 1367 9671
11 1183 8456
11 942 6808
11 979 7032
11 1027 7313
11 813 5878
11 411 2994
11 561 4039
11 848 6079
11 477 3471
11 839 5994
11 939 6741
11 248 1975
11 716 5163
11 1411 9900
11 812 5838
11 769 5489
11 665 4770
11 279 2178
11 1328 9293
11 357 2586
11 42 306
11 799 5727
11 94 690
11 1135 7908
11 930 6573
11 1299 9045
11 516 3678
11 1216 8519
11 561 3973
11 810 5782
11 1177 8190
11 328 2430
11 362 2591
11 197 1574
11 868 6095
11 682 4821
11 642 4568
11 14 134
11 1050 7252
11 1161 8039
11 343 2480
11 569 3993
11 912 6367
11 1117 7643
11 555 3893
11 286 2205
11 1382 9484
11 1264 8664
11 626 4384
11 1282 8777
11 1117 7602
11 129 1042
11 113 857
11 1210 8293
11 756 5302
11 541 3782
11 527 3690
11 1321 8980
11 309 2301
11 1131 7663
11 685 4763
11 990 6843
11 933 6445
11 531 3706
11 688 4769
11 362 2540
11 708 4879
11 820 5690
11 1336 9026
11 279 2131
11 9 81
11 193 1506
11 901 6124
11 943 6448
11 805 5501
11 933 6370
11 1286 8654
11 170 1338
11 177 1386
11 1398 9390
11 950 6467
11 1344 8988
11 66 432
11 532 3676
11 527 3633
11 839 5734
11 1117 7458
11 1091 7323
11 135 1067
11 903 6111
11 731 4987
11 293 2182
11 1401 9306
11 186 1432
11 868 5888
11 600 4076
11 47 325
11 1066 7119
11 1475 9766
11 837 5703
11 1398 9250
11 1490 9847
11 516 3562
11 226 1726
11 940 6296
11 1376 9063
11 655 4448
11 167 1302
11 1010 6753
11 865 5834
11 1062 7044
11 470 3221
11 148 1175
11 1143 7476
11 477 3249
11 716 4808
11 1464 9562
11 99 708
11 292 2132
11 93 629
11 472 3171
11 512 3471
11 420 2811
11 362 2478
11 166 1255
11 757 5051
11 435 2906
11 214 1580
11 300 2170
11 406 2672
11 1121 7284
11 1204 7772
11 1368 8871
11 1114 7198
11 889 5851
11 205 1519
11 959 6261
11 44 299
11 429 2821
11 1451 9367
11 372 2486
11 953 6217
11 1388 8940
11 557 3661
11 565 3693
11 307 2189
11 1314 8469
11 1498 9608
11 1441 9249
11 1074 6953
11 1016 6589
11 353 2421
11 66 424
11 877 5753
11 166 1251
11 231 1680
11 1120 7156
11 642 4157
11 1510 9612
11 1464 9327
11 1059 6829
11 497 3248
11 527 3451
11 290 2052
11 73 446
11 1465 9302
11 551 3572
11 472 3060
11 926 5954
11 998 6393
11 361 2427
11 1324 8440
11 404 2611
11 1229 7719
11 300 2101
11 415 2656
11 1576 9908
11 1085 6922
11 1363 8616
11 1455 9158
11 607 3876
11 810 5206
11 1263 7931
11 98 652
11 130 959
11 1466 9182
11 1385 8684
11 1291 8115
11 1557 9691
11 1321 8297
11 600 3794
11 1032 6520
11 215 1545
11 563 3598
11 776 4924
11 280 1992
11 457 2900
11 1356 8496
11 196 1404
11 820 5206
11 166 1242
11 21 183
11 580 3646
11 25 205
11 1275 7902
11 308 2099
11 459 2861
11 1263 7810
11 1457 9022
11 1267 7830
11 523 3320
11 1500 9250
11 483 3036
11 173 1251
11 1612 9902
11 55 347
11 1086 6785
11 1386 8587
11 1365 8462
11 1038 6476
11 517 3236
11 1396 8609
11 1525 9348
11 767 4781
11 328 2207
11 695 4273
11 502 3125
11 210 1459
11 447 2769
11 128 881
11 1078 6666
11 658 4011
11 147 1064
11 48 312
11 693 4216
11 1473 8966
11 374 2412
11 558 3430
11 1099 6777
11 1282 7786
11 181 1260
11 1049 6449
11 1151 7036
11 102 648
11 1276 7701
11 536 3290
11 140 995
11 735 4486
11 1357 8229
11 939 5809
11 1210 7315
11 219 1465
11 726 4418
11 1091 6663
11 425 2599
11 486 2977
11 133 936
11 316 2076
11 733 4437
11 5 58
11 486 2958
11 1248 7455
11 679 4069
11 64 374
11 690 4119
11 768 4638
11 1568 9341
11 480 2883
11 737 4420
11 400 2470
11 108 669
11 936 5680
11 1500 8919
11 683 4057
11 451 2680
11 494 2972
11 627 3700
11 619 3675
11 649 3811
11 286 1929
11 973 5836
11 162 1126
11 1652 9747
11 1111 6607
11 1323 7789
11 377 2346
11 1629 9584
11 852 5078
11 120 774
11 63 373
11 862 5136
11 11 84
11 1337 7828
11 935 5557
11 83 459
11 297 1948
11 1108 6547
11 1676 9800
11 174 1183
11 146 967
11 365 2270
11 282 1853
11 515 2999
11 1302 7541
11 363 2262
11 958 5679
11 91 514
11 1017 5962
11 965 5706
11 750 4325
11 1365 7892
11 241 1543
11 279 1803
11 1326 7639
11 779 4502
11 1019 5944
11 1086 6337
11 711 4086
11 157 1022
11 596 3463
11 132 812
11 435 2510
11 610 3548
11 1498 8640
11 770 4420
11 703 4007
11 1202 6940
11 149 967
11 671 3807
11 1416 8124
11 302 1935
11 410 2429
11 1097 6329
11 202 1286
11 1096 6322
11 1496 8591
11 1215 6966
11 1191 6836
11 141 906
11 1581 9024
11 1329 7513
11 1548 8798
11 1205 6919
11 1638 9316
11 491 2789
11 226 1421
11 916 5261
11 954 5478
11 296 1860
11 466 2635
11 1576 8941
11 476 2672
11 241 1498
11 1561 8841
11 1364 7664
11 1038 5918
11 507 2848
11 813 4605
11 574 3237
11 537 3007
11 1616 9081
11 909 5172
11 956 5436
11 280 1762
11 1141 6459
11 1442 8111
11 1184 6705
11 1743 9777
11 878 4947
11 1366 7611
11 907 5153
11 1574 8813
11 492 2761
11 342 2073
11 800 4481
11 303 1902
11 621 3494
11 1083 6094
11 673 3732
11 953 5354
11 902 5082
11 481 2674
11 788 4378
11 1178 6580
11 244 1515
11 334 2043
11 1594 8850
11 118 716
11 543 3000
11 350 2087
11 678 3723
11 1510 8433
11 1317 7260
11 992 5512
11 25 195
11 9 71
11 657 3623
11 591 3252
11 1119 6200
11 892 4922
11 141 864
11 219 1353
11 688 3735
11 1818 9977
11 623 3426
11 834 4569
11 306 1880
11 597 3273
11 1280 7015
11 1014 5612
11 908 4979
11 357 2097
11 849 4638
11 1034 5710
11 1588 8677
11 455 2506
11 1428 7753
11 718 3879
11 588 3222
11 1308 7105
11 1094 5967
11 1276 6945
11 1012 5538
11 1762 9579
11 435 2457
11 355 2085
11 1108 6002
11 432 2432
11 978 5337
11 376 2202
11 1369 7355
11 1144 6201
11 1829 9907
11 1383 7442
11 1141 6179
11 1797 9686
11 1543 8363
11 815 4411
11 1727 9311
11 991 5379
11 3 23
11 802 4290
11 1400 7476
11 865 4662
11 1 0
11 462 2506
11 1343 7168
11 768 4105
11 1185 6385
11 1251 6742
11 191 1210
11 419 2352
11 692 3687
11 1256 6748
11 318 1931
11 462 2497
11 1654 8833
11 1496 7933
11 210 1281
11 99 523
11 1215 6487
11 1618 8636
11 1257 6724
11 1197 6395
11 440 2431
11 1742 9255
11 442 2433
11 135 794
11 693 3666
11 290 1744
11 1161 6173
11 703 3690
11 1137 6034
11 1 2
11 887 4704
11 431 2387
11 1679 8860
11 1557 8224
11 541 2844
11 988 5245
11 939 4966
11 776 4055
11 757 3950
11 950 5005
11 1370 7155
11 397 2233
11 740 3854
11 424 2341
11 1245 6519
11 971 5136
11 551 2864
11 577 3006
11 20 124
11 1131 5940
11 1091 5753
11 486 2555
11 991 5196
11 1571 8186
11 1861 9702
11 1701 8862
11 1202 6282
11 398 2227
11 1711 8904
11 1666 8669
11 399 2229
11 1914 9960
11 174 1056
11 178 1089
11 875 4536
11 764 3900
11 523 2687
11 1831 9502
11 840 4307
11 1281 6637
11 146 860
11 1520 7815
11 1715 8870
11 177 1066
11 26 156
11 1042 5389
11 493 2554
11 1819 9372
11 921 4748
11 526 2679
11 1026 5312
11 97 501
11 278 1586
11 99 508
11 978 5040
11 1503 7640
11 1106 5723
11 1514 7674
11 1921 9868
11 901 4627
11 1237 6343
11 377 2097
11 158 940
11 740 3751
11 625 3187
11 1070 5476
11 792 4004
11 1147 5874
11 231 1331
11 1629 8311
11 1740 8863
11 1666 8543
11 1208 6126
11 811 4085
11 1887 9609
11 517 2634
11 1864 9475
11 388 2164
11 351 2006
11 112 575
11 203 1195
11 1452 7319
11 1474 7428
11 1805 9133
11 1556 7827
11 1741 8820
11 1337 6774
11 1956 9902
11 1286 6495
11 1314 6642
11 155 882
11 565 2838
